,article_name,country,revision_id,article_quality_est.,population
202,Milada Horáková,Czech Republic,805439919.0,C,
203,Martin Holcát,Czech Republic,805824502.0,Stub,
204,Alena Dernerová,Czech Republic,805946007.0,Stub,
205,Marian Jurečka,Czech Republic,806049453.0,Stub,
206,Pavel Bělobrádek,Czech Republic,806085100.0,Stub,
207,Dan Ťok,Czech Republic,806231200.0,Stub,
208,Jiří Dienstbier,Czech Republic,806490518.0,Stub,
209,Rudolf Slánský,Czech Republic,806504904.0,C,
210,Alexandr Vondra,Czech Republic,806537585.0,C,
211,Jaroslav Šedivý,Czech Republic,806538241.0,Stub,
212,Cyril Svoboda,Czech Republic,806538320.0,C,
213,Jan Kohout,Czech Republic,806539480.0,Stub,
214,Miloš Vystrčil,Czech Republic,806558617.0,Stub,
215,Alois Eliáš,Czech Republic,806566913.0,C,
216,Jan Skopeček (politician),Czech Republic,806569308.0,Stub,
217,Miloslav Ludvík,Czech Republic,806586185.0,Stub,
218,Martin Kupka,Czech Republic,806636602.0,Stub,
219,Matěj Stropnický,Czech Republic,806650264.0,Stub,
220,Petr Šimerka,Czech Republic,806669645.0,Stub,
221,Jaromír Drábek,Czech Republic,806669709.0,Stub,
222,Ludmila Müllerová,Czech Republic,806669752.0,Stub,
223,Jan Veleba (politician),Czech Republic,806672899.0,Stub,
224,František Ringo Čech,Czech Republic,806673245.0,Stub,
225,Michaela Marksová,Czech Republic,806673585.0,Stub,
226,Robert Pelikán,Czech Republic,806708361.0,Stub,
227,Karla Šlechtová,Czech Republic,806708532.0,Stub,
228,Stanislav Gross,Czech Republic,806720477.0,C,
229,Martin Stropnický,Czech Republic,806729653.0,Stub,
230,Leoš Heger,Czech Republic,806751902.0,Stub,
231,Bohuslav Svoboda,Czech Republic,806850638.0,Stub,
232,Miroslava Němcová,Czech Republic,806876791.0,Stub,
233,Zbyněk Stanjura,Czech Republic,806900987.0,Stub,
234,Drahomíra Miklošová,Czech Republic,806988445.0,Stub,
235,Václav Klaus Jr.,Czech Republic,806991412.0,C,
236,Dominik Feri,Czech Republic,807058182.0,Start,
237,Alexandra Udženija,Czech Republic,807102237.0,Stub,
238,Ivan Pilný,Czech Republic,807333095.0,Stub,
239,Marta Semelová,Czech Republic,807334610.0,Stub,
240,Daniel Herman,Czech Republic,807334657.0,Start,
241,Jan Hamáček,Czech Republic,807353609.0,Stub,
242,Michal Horáček,Czech Republic,807358143.0,C,
243,Václav Klaus,Czech Republic,807382193.0,C,
244,Martin Kuba,Czech Republic,807394304.0,Stub,
245,Martin Říman,Czech Republic,807394725.0,Stub,
246,Kateřina Valachová,Czech Republic,807399097.0,Stub,
247,Vladimír Tošovský,Czech Republic,807415625.0,Stub,
248,Pavel Svoboda,Czech Republic,807416099.0,Start,
249,Petr Fiala,Czech Republic,807420515.0,Start,
250,Vladimír Špidla,Czech Republic,807462107.0,C,
251,Timoteo Menéndez,Salvadoran,566504165.0,Stub,
252,Joaquín Escolán y Balibrera,Salvadoran,679294949.0,Stub,
253,Fermín Palacios,Salvadoran,705353491.0,Stub,
254,Eugenio Aguilar,Salvadoran,705353565.0,Stub,
255,Tomás Medina,Salvadoran,705353584.0,Stub,
256,Ramón Rodríguez (Salvadoran politician),Salvadoran,705353647.0,Stub,
257,Vicente Gómez,Salvadoran,705353678.0,Stub,
258,Lorenzo Zepeda,Salvadoran,705353843.0,Stub,
259,José María Peralta,Salvadoran,705353896.0,Stub,
260,Francisco Menéndez,Salvadoran,705353975.0,Stub,
261,Pedro José Escalón,Salvadoran,705354095.0,Stub,
262,Fernando Figueroa,Salvadoran,705354112.0,Stub,
263,Carlos Meléndez (politician),Salvadoran,705354212.0,Stub,
264,Fabio Castillo Figueroa,Salvadoran,705385310.0,Stub,
265,Ricardo Montenegro,Salvadoran,706769596.0,Stub,
266,Rafael Campo,Salvadoran,707399758.0,Start,
267,Miguel Santín del Castillo,Salvadoran,707400213.0,Stub,
268,Osmín Aguirre y Salinas,Salvadoran,707403482.0,Stub,
269,Eusebio Rodolfo Cordón Cea,Salvadoran,707404888.0,Stub,
270,Juan José Guzmán,Salvadoran,707519272.0,Stub,
271,Juan José Cañas,Salvadoran,708089470.0,Stub,
272,José Gregorio Salazar,Salvadoran,710543364.0,Start,
273,Diego Vigil Cocaña,Salvadoran,710555824.0,Start,
274,Nicolás Espinoza,Salvadoran,710578840.0,Start,
275,Pedro Barriere,Salvadoran,710677703.0,Start,
276,Joaquín de San Martín,Salvadoran,710828020.0,Start,
277,José Félix Quirós,Salvadoran,714256648.0,Stub,
278,Edgardo Carlos Suárez Mallagray,Salvadoran,717903674.0,Stub,
279,Aníbal Portillo,Salvadoran,720419598.0,Stub,
280,José Francisco Valiente,Salvadoran,720478176.0,Stub,
281,Diego de Holguín,Salvadoran,720623176.0,Stub,
282,Sigfrido Reyes Morales,Salvadoran,720633452.0,Start,
283,Manuel Enrique Araujo,Salvadoran,723277343.0,Start,
284,Joaquín Eufrasio Guzmán,Salvadoran,730854147.0,Stub,
285,Francisco Malespín,Salvadoran,730864227.0,Stub,
286,Rodrigo Ávila,Salvadoran,733791467.0,Start,
287,Mario Aguiñada Carranza,Salvadoran,736491718.0,Start,
288,David Rodríguez Rivera,Salvadoran,738362225.0,Start,
289,Carlos Ezeta,Salvadoran,741190933.0,Stub,
290,Andrés Ignacio Menéndez,Salvadoran,742279612.0,Stub,
291,Gerardo Barrios,Salvadoran,743252984.0,Start,
292,Rubén Zamora,Salvadoran,748418081.0,Start,
293,Antonio José Cañas,Salvadoran,749973666.0,Start,
294,José Atilio Benítez Parada,Salvadoran,749976455.0,Stub,
295,Violeta Menjívar,Salvadoran,757618572.0,Start,
296,Santiago González (politician),Salvadoran,757977772.0,Stub,
297,Rosa Amelia Guzmán,Salvadoran,758287489.0,Start,
298,Gloria Salguero Gross,Salvadoran,758288293.0,C,
299,David Joaquín Guzmán,Salvadoran,765528693.0,Start,
300,Francisco Gómez (El Salvador President),Salvadoran,766757526.0,Start,
301,Francisco Dueñas,Salvadoran,769575358.0,Stub,
302,Rafael Zaldívar,Salvadoran,770682721.0,Start,
303,Óscar Ortiz (El Salvador),Salvadoran,774857245.0,Stub,
304,José Damián Villacorta,Salvadoran,777601256.0,Start,
305,José Escolástico Marín,Salvadoran,777602660.0,Stub,
306,José María Cornejo,Salvadoran,777612972.0,Start,
307,José María Peralta Lagos,Salvadoran,777613551.0,Stub,
308,José María San Martín,Salvadoran,777613737.0,Start,
309,José María Silva,Salvadoran,777613786.0,Start,
310,Juan Manuel Rodríguez,Salvadoran,777685186.0,Start,
311,Juan Vicente Villacorta Díaz,Salvadoran,777698313.0,Start,
312,Juan José Daboub,Salvadoran,778564487.0,C,
313,José Arturo Vásquez Machado,Salvadoran,779894617.0,Stub,
314,Andrés del Valle,Salvadoran,779931580.0,Start,
315,Lilian Mercedes Letona,Salvadoran,780552804.0,Start,
316,Carlos Quintanilla Schmidt,Salvadoran,780701356.0,Stub,
317,Enrique Álvarez Córdova,Salvadoran,781102914.0,Stub,
318,Arturo Araujo,Salvadoran,782520448.0,Stub,
319,Rubén Alonso Rosales,Salvadoran,782652818.0,Start,
320,Mariano Prado,Salvadoran,783472679.0,Start,
321,Pío Romero Bosque,Salvadoran,784506431.0,Stub,
322,Alfonso Quiñónez Molina,Salvadoran,785229840.0,Stub,
323,Jorge Meléndez,Salvadoran,786063735.0,Stub,
324,Carmen Elena Figueroa,Salvadoran,786068145.0,Stub,
325,Felipe Codallos,Salvadoran,786492357.0,Stub,
326,Tomás Regalado (Salvadoran politician),Salvadoran,786492366.0,Stub,
327,Doroteo Vasconcelos,Salvadoran,788264133.0,GA,
328,Alfredo Cristiani,Salvadoran,788447923.0,C,
329,Óscar Osorio,Salvadoran,791821555.0,Start,
330,Lourdes Rodríguez de Flores,Salvadoran,791907279.0,Stub,
331,Álvaro Magaña,Salvadoran,791907345.0,Stub,
332,Salvador Castaneda Castro,Salvadoran,791911972.0,B,
333,Julio Adalberto Rivera Carballo,Salvadoran,792385744.0,Start,
334,Carlos Salazar Castro,Salvadoran,793184472.0,Start,
335,Maximiliano Hernández Martínez,Salvadoran,793642670.0,C,
336,Reynaldo Galindo Pohl,Salvadoran,794052085.0,Stub,
337,Ciro Cruz Zepeda,Salvadoran,794459622.0,Start,
338,Ana Ligia Mixco Sol de Saca,Salvadoran,794561394.0,Start,
339,Carlos Humberto Romero,Salvadoran,794988963.0,Start,
340,Ana María,Salvadoran,795573859.0,Start,
341,Arturo Armando Molina,Salvadoran,796131598.0,Stub,
342,Carlos Eugenio Vides Casanova,Salvadoran,797151261.0,C,
343,Miguel Álvarez Castro,Salvadoran,798306895.0,Stub,
344,José Guillermo García,Salvadoran,798460321.0,Start,
345,Marisol Argueta de Barillas,Salvadoran,798896224.0,Start,
346,René Emilio Ponce,Salvadoran,799918049.0,Stub,
347,Guillermo Ungo,Salvadoran,800478736.0,Stub,
348,Antonio Saca,Salvadoran,802075785.0,C,
349,Hugo Lindo,Salvadoran,802944082.0,Start,
350,Schafik Handal,Salvadoran,803674894.0,Start,
351,Ana Vilma de Escobar,Salvadoran,803927035.0,C,
352,Juan Lindo,Salvadoran,804134156.0,Start,
353,Mauricio Funes,Salvadoran,804528819.0,GA,
354,Vice President of El Salvador,Salvadoran,804538892.0,Start,
355,Francisco Flores Pérez,Salvadoran,804606321.0,C,
356,José Napoleón Duarte,Salvadoran,804809409.0,C,
357,Armando Calderón Sol,Salvadoran,804991452.0,Start,
358,Fidel Sánchez Hernández,Salvadoran,805353238.0,Start,
359,Rafael Antonio Gutiérrez,Salvadoran,805474907.0,Start,
360,Irma Dimas,Salvadoran,806010405.0,Start,
361,Manuel José Arce,Salvadoran,806057984.0,Start,
362,President of El Salvador,Salvadoran,806101149.0,Stub,
363,José Matías Delgado,Salvadoran,806731535.0,C,
364,Vanda Pignato,Salvadoran,806958982.0,B,
365,José María Lemus,Salvadoran,807175924.0,Stub,
366,Salvador Sánchez Cerén,Salvadoran,807210786.0,C,
367,Gervas Clay,Rhodesian,574571582.0,Stub,
368,Harry Davies (politician),Rhodesian,669387487.0,Start,
369,William Fairbridge,Rhodesian,682576258.0,Start,
370,Washington Malianga,Rhodesian,711506001.0,Stub,
371,Ronald Snapper,Rhodesian,712233907.0,Stub,
372,Gerald B. Clarke,Rhodesian,747497059.0,Stub,
373,Francis Chaplin,Rhodesian,763530115.0,Stub,
374,Roger Hawkins (politician),Rhodesian,763533706.0,Start,
375,George Mitchell (Rhodesia),Rhodesian,763540238.0,Stub,
376,John Landau,Rhodesian,763870152.0,Stub,
377,Byron Hove,Rhodesian,763951988.0,Start,
378,Hilary Squires,Rhodesian,766847256.0,Stub,
379,Cecil Dennistoun Burney,Rhodesian,774837666.0,Stub,
380,Mark Partridge,Rhodesian,780260926.0,Stub,
381,Prime Minister of Rhodesia,Rhodesian,782602484.0,Start,
382,Leo Cardwell Ross,Rhodesian,783150296.0,Start,
383,Josiah Gondo,Rhodesian,783150589.0,C,
384,Dunduzu Chisiza,Rhodesian,783301534.0,B,
385,Allan Ross Welsh,Rhodesian,784562559.0,C,
386,John Moore Caldicott,Rhodesian,784757829.0,Start,
387,John Ralph Beaumont,Rhodesian,784758963.0,Start,
388,Leonard Ray Morgan,Rhodesian,784769027.0,Start,
389,Raleigh Grey,Rhodesian,784826325.0,Start,
390,Robert Clarkson Tredgold,Rhodesian,784830601.0,Start,
391,Robert James Hudson,Rhodesian,784831407.0,B,
392,William Harper (Rhodesian politician),Rhodesian,784870217.0,FA,
393,Rowan Cronjé,Rhodesian,784974615.0,GA,
394,Edgar Whitehead,Rhodesian,786601705.0,Start,
395,Henry Hamilton Beamish,Rhodesian,786659504.0,Start,
396,Lionel Cripps,Rhodesian,787105083.0,Start,
397,A. R. Colquhoun,Rhodesian,787147677.0,Start,
398,John McChlery,Rhodesian,787854502.0,Stub,
399,Jeremiah Chirau,Rhodesian,789545107.0,Stub,
400,Winston Field,Rhodesian,789689591.0,C,
401,Howard Unwin Moffat,Rhodesian,790010191.0,Start,
402,Ken Flower,Rhodesian,794528943.0,Start,
403,Andrew Skeen (Rhodesia),Rhodesian,795348776.0,Stub,
404,Hugh Beadle,Rhodesian,795369277.0,FA,
405,Hugh Marshall Hole,Rhodesian,795483112.0,Start,
406,Roy Welensky,Rhodesian,797314307.0,FA,
407,Abel Muzorewa,Rhodesian,797407618.0,C,
408,Signatories of Rhodesia's Unilateral Declaration of Independence,Rhodesian,797546082.0,Start,
409,Jack Howman,Rhodesian,798384751.0,Stub,
410,Ethel Tawse Jollie,Rhodesian,798492985.0,Start,
411,Alan David Butler,Rhodesian,799332728.0,Start,
412,Jack William Pithey,Rhodesian,799548505.0,Start,
413,President of Rhodesia,Rhodesian,799548556.0,C,
414,Denis Walker,Rhodesian,799608339.0,C,
415,James Cowden,Rhodesian,800407772.0,Stub,
416,Herbert Chitepo,Rhodesian,800416336.0,C,
417,Thomas Nangle,Rhodesian,800479460.0,Start,
418,Timothy Stamps,Rhodesian,800986051.0,C,
419,Sam Levy,Rhodesian,801716406.0,Start,
420,Humphrey Gibbs,Rhodesian,801718040.0,C,
421,P. K. van der Byl,Rhodesian,801795215.0,FA,
422,Clifford Dupont,Rhodesian,801876681.0,C,
423,Lance Smith (politician),Rhodesian,802151785.0,GA,
424,Desmond Lardner-Burke,Rhodesian,802930161.0,B,
425,John Bredenkamp,Rhodesian,803620246.0,C,
426,Frank Rhodes (British Army officer),Rhodesian,804040348.0,Start,
427,Ernest Lucas Guest,Rhodesian,804101492.0,FA,
428,Godfrey Chidyausiku,Rhodesian,804650400.0,Start,
429,Richard Hope Hall,Rhodesian,804743937.0,GA,
430,Crosaire,Rhodesian,804806363.0,Start,
431,Gaston Thornicroft,Rhodesian,804877226.0,Start,
432,"James Graham, 7th Duke of Montrose",Rhodesian,805372073.0,C,
433,Ahrn Palley,Rhodesian,805960143.0,C,
434,Allan Savory,Rhodesian,806153816.0,GA,
435,Ian Smith,Rhodesian,806532780.0,FA,
436,Garfield Todd,Rhodesian,807097467.0,C,
437,Douglas Hamilton Ritchie,Rhodesian,807159903.0,C,
438,Godfrey Huggins,Rhodesian,807160082.0,C,
439,George Hackwill,Rhodesian,807283218.0,C,
440,Henry Everard,Rhodesian,807425613.0,Start,
441,John Wrathall,Rhodesian,807425747.0,C,
442,Mavua Mudima,"Congo, Dem. Rep. of",592289232.0,Stub,
443,List of provincial governors of the Democratic Republic of the Congo,"Congo, Dem. Rep. of",663088604.0,Stub,
444,Eugène Diomi Ndongala Nzomambu,"Congo, Dem. Rep. of",705390654.0,Stub,
445,Théophile Mbemba Fundu,"Congo, Dem. Rep. of",705707214.0,Stub,
446,Ntumba Luaba,"Congo, Dem. Rep. of",705723187.0,Stub,
447,Myra Ndjoku Manianga,"Congo, Dem. Rep. of",705723441.0,Stub,
448,André-Philippe Futa,"Congo, Dem. Rep. of",708009445.0,Start,
449,Gérard Gifuza,"Congo, Dem. Rep. of",708358969.0,Stub,
450,Koloso Sumaili,"Congo, Dem. Rep. of",708359204.0,Stub,
451,Célestin Cibalonza Byaterana,"Congo, Dem. Rep. of",713195149.0,Stub,
452,Emmanuel Leku Apuobo,"Congo, Dem. Rep. of",713198718.0,Stub,
453,Kisula Ngoy,"Congo, Dem. Rep. of",713583472.0,Stub,
454,Jean Collins Musonda Kalusambo,"Congo, Dem. Rep. of",714150941.0,Stub,
455,Denis Kalume Numbi,"Congo, Dem. Rep. of",714220527.0,Start,
456,Delphin Kyubwa,"Congo, Dem. Rep. of",718961623.0,Stub,
457,Sylvain Ngabu Chumbu,"Congo, Dem. Rep. of",720858135.0,Start,
458,José Endundo Bononge,"Congo, Dem. Rep. of",721206007.0,Stub,
459,Richard Muyej Mangez,"Congo, Dem. Rep. of",723913158.0,Stub,
