,page,country,rev_id,prediction,FIPS,Type,TimeFrame,Data (M),Population,_merge
211,Kamal Nasser,Palestinian Territory,795004000.0,Start,PS,Country,2019.0,5.008,5008000.0,both
212,Current members of Palestinian Legislative Council,Palestinian Territory,795648388.0,Start,PS,Country,2019.0,5.008,5008000.0,both
213,Fathi Hamad,Palestinian Territory,796124047.0,Start,PS,Country,2019.0,5.008,5008000.0,both
214,Musa Alami,Palestinian Territory,796697881.0,C,PS,Country,2019.0,5.008,5008000.0,both
215,Palestinian Declaration of Independence,Palestinian Territory,796911861.0,C,PS,Country,2019.0,5.008,5008000.0,both
216,Ahmad Kurd,Palestinian Territory,796924085.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
217,Amin al-Majaj,Palestinian Territory,796961464.0,Start,PS,Country,2019.0,5.008,5008000.0,both
218,Aziz Duwaik,Palestinian Territory,797021613.0,C,PS,Country,2019.0,5.008,5008000.0,both
219,Ahmed Yassin,Palestinian Territory,797122322.0,GA,PS,Country,2019.0,5.008,5008000.0,both
220,Hanan Ashrawi,Palestinian Territory,797806716.0,C,PS,Country,2019.0,5.008,5008000.0,both
221,Cause of Yasser Arafat's death,Palestinian Territory,798100387.0,B,PS,Country,2019.0,5.008,5008000.0,both
222,Kassim Al-Rimawi,Palestinian Territory,798262559.0,Start,PS,Country,2019.0,5.008,5008000.0,both
223,Ibrahim Abu-Lughod,Palestinian Territory,798282902.0,C,PS,Country,2019.0,5.008,5008000.0,both
224,Islah Jad,Palestinian Territory,798331360.0,Start,PS,Country,2019.0,5.008,5008000.0,both
225,Issam Sartawi,Palestinian Territory,798732432.0,C,PS,Country,2019.0,5.008,5008000.0,both
226,Marwan Barghouti,Palestinian Territory,798913975.0,GA,PS,Country,2019.0,5.008,5008000.0,both
227,Mohammad Shtayyeh,Palestinian Territory,799023109.0,C,PS,Country,2019.0,5.008,5008000.0,both
228,Mohammed Dahlan,Palestinian Territory,799023535.0,C,PS,Country,2019.0,5.008,5008000.0,both
229,Nabil Shaath,Palestinian Territory,799072017.0,Start,PS,Country,2019.0,5.008,5008000.0,both
230,Nabeel Kassis,Palestinian Territory,799209138.0,Start,PS,Country,2019.0,5.008,5008000.0,both
231,Mahmoud al-Mabhouh,Palestinian Territory,799802471.0,GA,PS,Country,2019.0,5.008,5008000.0,both
232,Qadura Fares,Palestinian Territory,799858795.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
233,Leila Khaled,Palestinian Territory,800067783.0,C,PS,Country,2019.0,5.008,5008000.0,both
234,Muhammad Nimr al-Hawari,Palestinian Territory,800264686.0,C,PS,Country,2019.0,5.008,5008000.0,both
235,Wadie Haddad,Palestinian Territory,800268417.0,Start,PS,Country,2019.0,5.008,5008000.0,both
236,Munib al-Masri,Palestinian Territory,800663648.0,C,PS,Country,2019.0,5.008,5008000.0,both
237,Suha Arafat,Palestinian Territory,800718761.0,C,PS,Country,2019.0,5.008,5008000.0,both
238,Taba Summit,Palestinian Territory,800748567.0,C,PS,Country,2019.0,5.008,5008000.0,both
239,Sari Nusseibeh,Palestinian Territory,800949001.0,C,PS,Country,2019.0,5.008,5008000.0,both
240,Education Minister of the Palestinian National Authority,Palestinian Territory,801102332.0,Start,PS,Country,2019.0,5.008,5008000.0,both
241,Yaqub al-Ghusayn,Palestinian Territory,801214518.0,Start,PS,Country,2019.0,5.008,5008000.0,both
242,Khaled Mashal,Palestinian Territory,801299475.0,C,PS,Country,2019.0,5.008,5008000.0,both
243,Ziad Abu Ein,Palestinian Territory,801335922.0,C,PS,Country,2019.0,5.008,5008000.0,both
244,Zuhdi Labib Terzi,Palestinian Territory,801507800.0,Start,PS,Country,2019.0,5.008,5008000.0,both
245,Raghib al-Nashashibi,Palestinian Territory,801867039.0,Start,PS,Country,2019.0,5.008,5008000.0,both
246,Jamila Abdallah Taha al-Shanti,Palestinian Territory,802082257.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
247,Jibril Rajoub,Palestinian Territory,802302873.0,C,PS,Country,2019.0,5.008,5008000.0,both
248,Abdelrahman al-Dajani,Palestinian Territory,802436402.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
249,Ahmad Agha Duzdar,Palestinian Territory,802436510.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
250,Musa al-Alami (mayor of Jerusalem),Palestinian Territory,802436655.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
251,Hussam ad-Din Jarallah,Palestinian Territory,802438226.0,Start,PS,Country,2019.0,5.008,5008000.0,both
252,As'ad Shukeiri,Palestinian Territory,802444446.0,Stub,PS,Country,2019.0,5.008,5008000.0,both
253,Eyad al-Sarraj,Palestinian Territory,802495061.0,Start,PS,Country,2019.0,5.008,5008000.0,both
254,Abdel Aziz al-Rantisi,Palestinian Territory,802598153.0,C,PS,Country,2019.0,5.008,5008000.0,both
255,Fatima Bernawi,Palestinian Territory,802835604.0,Start,PS,Country,2019.0,5.008,5008000.0,both
256,Ahmad Sa'adat,Palestinian Territory,802968215.0,C,PS,Country,2019.0,5.008,5008000.0,both
257,Salah Shehade,Palestinian Territory,803242304.0,C,PS,Country,2019.0,5.008,5008000.0,both
258,Mahmoud Abbas,Palestinian Territory,803433440.0,B,PS,Country,2019.0,5.008,5008000.0,both
259,Yasser Arafat,Palestinian Territory,804075706.0,FA,PS,Country,2019.0,5.008,5008000.0,both
260,Ahmad Shukeiri,Palestinian Territory,804132518.0,Start,PS,Country,2019.0,5.008,5008000.0,both
261,10 agorot controversy,Palestinian Territory,804292510.0,Start,PS,Country,2019.0,5.008,5008000.0,both
